Customer ID,Recency,Frequency,Monetary,R,F,M,RFM Score,Segment
336,879,2,5454,1,1,1,111,Lost Customers
337,127,4,11645,3,2,2,322,Regular Customers
338,75,4,8926,4,2,2,422,Regular Customers
339,151,5,16131,3,2,3,323,Potential Loyalists
340,28,10,33669,4,4,4,444,Champions
341,455,5,7945,1,2,1,121,Lost Customers
342,106,10,28585,3,4,4,344,Loyal Customers
343,526,5,11403,1,2,2,122,Lost Customers
344,503,7,17832,1,4,3,143,At Risk
345,1,7,13967,4,4,3,443,Loyal Customers
346,77,5,14283,4,2,3,423,Potential Loyalists
347,161,6,17563,3,3,3,333,Loyal Customers
348,185,9,25727,3,4,4,344,Loyal Customers
349,250,4,13096,2,2,3,223,Regular Customers
350,377,5,16661,1,2,3,123,Lost Customers
351,237,8,17230,2,4,3,243,At Risk
352,336,3,6959,2,1,1,211,Regular Customers
353,73,7,19498,4,4,4,444,Champions
354,221,4,16174,2,2,3,223,Regular Customers
355,284,3,7767,2,1,1,211,Regular Customers
356,471,4,11498,1,2,2,122,Lost Customers
357,264,6,22995,2,3,4,234,At Risk
358,31,4,13566,4,2,3,423,Potential Loyalists
359,219,5,16589,2,2,3,223,Regular Customers
360,28,5,10562,4,2,2,422,Regular Customers
361,31,3,6893,4,1,1,411,Regular Customers
362,1293,1,4964,1,1,1,111,Lost Customers
363,64,5,14543,4,2,3,423,Potential Loyalists
364,85,6,14827,3,3,3,333,Loyal Customers
365,535,3,7992,1,1,1,111,Lost Customers
366,476,2,3288,1,1,1,111,Lost Customers
367,95,3,8455,3,1,1,311,Regular Customers
368,512,2,2052,1,1,1,111,Lost Customers
369,88,4,12817,3,2,2,322,Regular Customers
370,154,6,14914,3,3,3,333,Loyal Customers
371,437,5,10024,1,2,2,122,Lost Customers
372,234,5,14200,2,2,3,223,Regular Customers
373,1119,2,7553,1,1,1,111,Lost Customers
374,5,7,25461,4,4,4,444,Champions
375,481,4,12176,1,2,2,122,Lost Customers
376,129,7,24007,3,4,4,344,Loyal Customers
377,36,6,15264,4,3,3,433,Loyal Customers
378,741,3,10739,1,1,2,112,Lost Customers
379,431,3,13401,1,1,3,113,Lost Customers
380,50,4,12376,4,2,2,422,Regular Customers
381,131,4,10658,3,2,2,322,Regular Customers
382,81,3,6765,3,1,1,311,Regular Customers
383,156,4,10593,3,2,2,322,Regular Customers
384,88,6,14018,3,3,3,333,Loyal Customers
385,247,6,16038,2,3,3,233,At Risk
386,74,5,11103,4,2,2,422,Regular Customers
387,142,3,6514,3,1,1,311,Regular Customers
388,104,4,15756,3,2,3,323,Potential Loyalists
389,21,5,11814,4,2,2,422,Regular Customers
390,169,3,13721,3,1,3,313,Potential Loyalists
391,441,5,12602,1,2,2,122,Lost Customers
392,198,4,10354,2,2,2,222,Regular Customers
393,294,5,11362,2,2,2,222,Regular Customers
394,616,5,13415,1,2,3,123,Lost Customers
395,226,2,4099,2,1,1,211,Regular Customers
396,836,5,23468,1,2,4,124,Lost Customers
397,295,6,9519,2,3,2,232,At Risk
398,68,6,17712,4,3,3,433,Loyal Customers
399,420,4,13606,1,2,3,123,Lost Customers
400,24,8,26338,4,4,4,444,Champions
401,71,8,13078,4,4,3,443,Loyal Customers
402,38,9,24017,4,4,4,444,Champions
403,298,6,25165,2,3,4,234,At Risk
404,92,7,16247,3,4,3,343,Loyal Customers
405,142,2,4577,3,1,1,311,Regular Customers
406,386,8,16833,1,4,3,143,At Risk
407,340,2,2780,2,1,1,211,Regular Customers
408,456,4,17312,1,2,3,123,Lost Customers
409,62,9,25320,4,4,4,444,Champions
410,790,1,403,1,1,1,111,Lost Customers
411,223,8,20561,2,4,4,244,At Risk
412,50,7,17208,4,4,3,443,Loyal Customers
413,49,3,8600,4,1,1,411,Regular Customers
414,36,2,7889,4,1,1,411,Regular Customers
415,896,2,1945,1,1,1,111,Lost Customers
416,324,3,9715,2,1,2,212,Regular Customers
417,52,4,8980,4,2,2,422,Regular Customers
418,59,4,12685,4,2,2,422,Regular Customers
419,84,5,10255,3,2,2,322,Regular Customers
420,459,5,16320,1,2,3,123,Lost Customers
421,76,6,15303,4,3,3,433,Loyal Customers
422,548,5,11972,1,2,2,122,Lost Customers
423,670,3,10081,1,1,2,112,Lost Customers
424,619,5,14366,1,2,3,123,Lost Customers
425,62,5,12512,4,2,2,422,Regular Customers
426,180,4,10239,3,2,2,322,Regular Customers
427,137,5,14494,3,2,3,323,Potential Loyalists
428,339,7,16117,2,4,3,243,At Risk
429,19,4,5807,4,2,1,421,Regular Customers
430,920,3,6081,1,1,1,111,Lost Customers
431,1,5,14957,4,2,3,423,Potential Loyalists
432,145,8,26191,3,4,4,344,Loyal Customers
433,596,2,1998,1,1,1,111,Lost Customers
434,30,7,13228,4,4,3,443,Loyal Customers
435,18,7,16171,4,4,3,443,Loyal Customers
436,102,3,6221,3,1,1,311,Regular Customers
437,657,3,8776,1,1,2,112,Lost Customers
438,76,4,10803,4,2,2,422,Regular Customers
439,316,3,4115,2,1,1,211,Regular Customers
440,405,5,15615,1,2,3,123,Lost Customers
441,217,5,9936,2,2,2,222,Regular Customers
442,331,3,12032,2,1,2,212,Regular Customers
443,410,5,17189,1,2,3,123,Lost Customers
444,100,6,10788,3,3,2,332,Loyal Customers
445,514,5,9444,1,2,2,122,Lost Customers
446,47,7,24805,4,4,4,444,Champions
447,536,2,3811,1,1,1,111,Lost Customers
448,111,3,7644,3,1,1,311,Regular Customers
449,94,5,10076,3,2,2,322,Regular Customers
450,406,8,23219,1,4,4,144,At Risk
451,90,6,13573,3,3,3,333,Loyal Customers
452,22,7,20587,4,4,4,444,Champions
453,391,4,10823,1,2,2,122,Lost Customers
454,425,5,17685,1,2,3,123,Lost Customers
455,116,4,15020,3,2,3,323,Potential Loyalists
456,230,2,9083,2,1,2,212,Regular Customers
457,132,5,16123,3,2,3,323,Potential Loyalists
458,74,3,6910,4,1,1,411,Regular Customers
459,412,4,15600,1,2,3,123,Lost Customers
460,15,8,27338,4,4,4,444,Champions
461,23,3,12787,4,1,2,412,Regular Customers
462,38,7,23295,4,4,4,444,Champions
463,377,4,12341,1,2,2,122,Lost Customers
464,122,4,11431,3,2,2,322,Regular Customers
465,959,3,9020,1,1,2,112,Lost Customers
466,791,3,8184,1,1,1,111,Lost Customers
467,7,5,20572,4,2,4,424,Potential Loyalists
468,252,5,13542,2,2,3,223,Regular Customers
469,615,6,19161,1,3,4,134,At Risk
470,155,4,16199,3,2,3,323,Potential Loyalists
471,87,7,18896,3,4,4,344,Loyal Customers
472,105,5,13059,3,2,3,323,Potential Loyalists
473,364,6,8736,2,3,2,232,At Risk
474,283,6,19227,2,3,4,234,At Risk
475,175,2,5688,3,1,1,311,Regular Customers
476,51,2,8451,4,1,1,411,Regular Customers
477,191,2,7924,2,1,1,211,Regular Customers
478,791,4,14545,1,2,3,123,Lost Customers
479,617,3,6495,1,1,1,111,Lost Customers
480,1,3,8069,4,1,1,411,Regular Customers
481,243,5,14978,2,2,3,223,Regular Customers
482,168,6,13719,3,3,3,333,Loyal Customers
483,301,8,17229,2,4,3,243,At Risk
484,273,7,18909,2,4,4,244,At Risk
485,243,8,28080,2,4,4,244,At Risk
486,28,10,19650,4,4,4,444,Champions
487,863,2,2939,1,1,1,111,Lost Customers
488,234,8,24331,2,4,4,244,At Risk
489,371,8,12838,1,4,2,142,At Risk
490,673,4,13731,1,2,3,123,Lost Customers
491,431,4,9545,1,2,2,122,Lost Customers
492,60,8,25356,4,4,4,444,Champions
493,206,8,16629,2,4,3,243,At Risk
494,475,2,2492,1,1,1,111,Lost Customers
495,154,4,9602,3,2,2,322,Regular Customers
496,306,4,5841,2,2,1,221,Regular Customers
497,118,9,23974,3,4,4,344,Loyal Customers
498,238,3,8942,2,1,2,212,Regular Customers
499,47,8,19534,4,4,4,444,Champions
500,53,5,12219,4,2,2,422,Regular Customers
501,511,3,8163,1,1,1,111,Lost Customers
502,129,4,9516,3,2,2,322,Regular Customers
503,55,7,20118,4,4,4,444,Champions
504,418,5,13779,1,2,3,123,Lost Customers
505,43,10,22835,4,4,4,444,Champions
506,452,5,8562,1,2,1,121,Lost Customers
507,778,5,15061,1,2,3,123,Lost Customers
508,258,4,13208,2,2,3,223,Regular Customers
509,621,3,6070,1,1,1,111,Lost Customers
510,427,7,24241,1,4,4,144,At Risk
511,189,5,11152,2,2,2,222,Regular Customers
512,614,1,3132,1,1,1,111,Lost Customers
513,3,5,16829,4,2,3,423,Potential Loyalists
514,199,3,4187,2,1,1,211,Regular Customers
515,309,3,9660,2,1,2,212,Regular Customers
516,39,6,17779,4,3,3,433,Loyal Customers
517,145,4,6503,3,2,1,321,Regular Customers
518,465,7,10743,1,4,2,142,At Risk
519,338,4,11017,2,2,2,222,Regular Customers
520,301,4,5842,2,2,1,221,Regular Customers
521,176,5,10191,3,2,2,322,Regular Customers
522,374,5,13158,1,2,3,123,Lost Customers
523,829,5,16482,1,2,3,123,Lost Customers
524,41,7,16168,4,4,3,443,Loyal Customers
525,162,5,12543,3,2,2,322,Regular Customers
526,9,8,22053,4,4,4,444,Champions
527,170,6,18623,3,3,4,334,Loyal Customers
528,329,4,10830,2,2,2,222,Regular Customers
529,243,5,14466,2,2,3,223,Regular Customers
530,50,9,24520,4,4,4,444,Champions
531,364,3,10680,2,1,2,212,Regular Customers
532,864,5,17553,1,2,3,123,Lost Customers
533,17,8,22594,4,4,4,444,Champions
534,44,8,21665,4,4,4,444,Champions
535,168,3,10956,3,1,2,312,Regular Customers
536,595,6,20509,1,3,4,134,At Risk
537,277,2,3755,2,1,1,211,Regular Customers
538,339,7,11298,2,4,2,242,At Risk
539,106,13,46390,3,4,4,344,Loyal Customers
540,298,5,14149,2,2,3,223,Regular Customers
541,114,3,4166,3,1,1,311,Regular Customers
542,162,6,17431,3,3,3,333,Loyal Customers
543,22,4,7620,4,2,1,421,Regular Customers
544,295,3,9522,2,1,2,212,Regular Customers
545,242,5,14128,2,2,3,223,Regular Customers
546,123,5,13422,3,2,3,323,Potential Loyalists
547,64,6,17435,4,3,3,433,Loyal Customers
548,90,8,29989,3,4,4,344,Loyal Customers
549,336,4,15527,2,2,3,223,Regular Customers
550,773,3,6211,1,1,1,111,Lost Customers
551,70,6,13985,4,3,3,433,Loyal Customers
552,107,1,4500,3,1,1,311,Regular Customers
553,1146,3,7656,1,1,1,111,Lost Customers
554,119,4,14303,3,2,3,323,Potential Loyalists
555,114,10,33993,3,4,4,344,Loyal Customers
556,993,2,4583,1,1,1,111,Lost Customers
557,36,5,16712,4,2,3,423,Potential Loyalists
558,38,3,10039,4,1,2,412,Regular Customers
559,267,5,7972,2,2,1,221,Regular Customers
560,137,4,9581,3,2,2,322,Regular Customers
561,390,7,19931,1,4,4,144,At Risk
562,541,2,5520,1,1,1,111,Lost Customers
563,25,7,13867,4,4,3,443,Loyal Customers
564,634,2,7230,1,1,1,111,Lost Customers
565,144,7,10573,3,4,2,342,Loyal Customers
566,170,4,11924,3,2,2,322,Regular Customers
567,86,6,15700,3,3,3,333,Loyal Customers
568,207,6,20210,2,3,4,234,At Risk
569,42,4,13105,4,2,3,423,Potential Loyalists
570,299,4,8792,2,2,2,222,Regular Customers
571,541,1,1432,1,1,1,111,Lost Customers
572,128,8,15942,3,4,3,343,Loyal Customers
573,292,8,24458,2,4,4,244,At Risk
574,332,5,16821,2,2,3,223,Regular Customers
575,186,6,17550,3,3,3,333,Loyal Customers
576,155,3,8962,3,1,2,312,Regular Customers
577,67,6,16413,4,3,3,433,Loyal Customers
578,308,5,16873,2,2,3,223,Regular Customers
579,85,10,32023,3,4,4,344,Loyal Customers
580,510,8,25102,1,4,4,144,At Risk
581,358,4,11882,2,2,2,222,Regular Customers
582,381,5,14676,1,2,3,123,Lost Customers
583,118,4,9991,3,2,2,322,Regular Customers
585,319,3,8786,2,1,2,212,Regular Customers
586,333,5,16816,2,2,3,223,Regular Customers
